Date_of_occurence,Cum_deaths
16/03/2020,1
17/03/2020,1
18/03/2020,2
19/03/2020,6
20/03/2020,12
21/03/2020,14
22/03/2020,23
23/03/2020,33
24/03/2020,43
25/03/2020,60
26/03/2020,76
27/03/2020,100
28/03/2020,119
29/03/2020,140
30/03/2020,160
31/03/2020,187
01/04/2020,209
02/04/2020,246
03/04/2020,266
04/04/2020,295
05/04/2020,311
06/04/2020,345
07/04/2020,380
08/04/2020,409
09/04/2020,435
10/04/2020,470
11/04/2020,504
12/04/2020,535
13/04/2020,567
14/04/2020,599
15/04/2020,629
16/04/2020,657
17/04/2020,687
18/04/2020,714
19/04/2020,735
20/04/2020,762
21/04/2020,785
22/04/2020,820
23/04/2020,854
24/04/2020,880
25/04/2020,903
26/04/2020,928
27/04/2020,948
28/04/2020,973
29/04/2020,989
30/04/2020,1007
01/05/2020,1023
02/05/2020,1043
03/05/2020,1063
04/05/2020,1074
05/05/2020,1089
06/05/2020,1105
07/05/2020,1114
08/05/2020,1126
09/05/2020,1135
10/05/2020,1144
11/05/2020,1163
12/05/2020,1175
13/05/2020,1184
14/05/2020,1190
15/05/2020,1203
16/05/2020,1218
17/05/2020,1231
18/05/2020,1247
19/05/2020,1263
20/05/2020,1277
21/05/2020,1289
22/05/2020,1302
23/05/2020,1316
24/05/2020,1330
25/05/2020,1342
26/05/2020,1356
27/05/2020,1369
28/05/2020,1383
29/05/2020,1396
30/05/2020,1410
31/05/2020,1424
01/06/2020,1436
02/06/2020,1447
03/06/2020,1455
04/06/2020,1465
05/06/2020,1474
06/06/2020,1479
07/06/2020,1485
08/06/2020,1492
09/06/2020,1497
10/06/2020,1504
11/06/2020,1505
12/06/2020,1512
13/06/2020,1517
14/06/2020,1520
15/06/2020,1522
16/06/2020,1523
17/06/2020,1524
18/06/2020,1527
19/06/2020,1528
20/06/2020,1530
21/06/2020,1534
22/06/2020,1540
23/06/2020,1543
24/06/2020,1549
25/06/2020,1555
26/06/2020,1561
27/06/2020,1564
28/06/2020,1568
29/06/2020,1576
30/06/2020,1579
01/07/2020,1587
02/07/2020,1598
03/07/2020,1605
04/07/2020,1614
05/07/2020,1620
06/07/2020,1629
07/07/2020,1631
08/07/2020,1644
09/07/2020,1646
10/07/2020,1654
11/07/2020,1660
12/07/2020,1662
13/07/2020,1668
14/07/2020,1676
15/07/2020,1679
16/07/2020,1682
17/07/2020,1684
18/07/2020,1689
19/07/2020,1691
20/07/2020,1697
21/07/2020,1702
22/07/2020,1705
23/07/2020,1712
24/07/2020,1716
25/07/2020,1717
26/07/2020,1719
27/07/2020,1722
28/07/2020,1725
29/07/2020,1727
30/07/2020,1735
31/07/2020,1737
01/08/2020,1738
02/08/2020,1738
03/08/2020,1739
04/08/2020,1740
05/08/2020,1743
06/08/2020,1746
07/08/2020,1750
08/08/2020,1756
09/08/2020,1759
10/08/2020,1761
11/08/2020,1764
12/08/2020,1770
13/08/2020,1772
14/08/2020,1775
15/08/2020,1778
16/08/2020,1779
17/08/2020,1784
18/08/2020,1786
19/08/2020,1788
20/08/2020,1792
21/08/2020,1794
22/08/2020,1796
23/08/2020,1801
24/08/2020,1805
25/08/2020,1807
26/08/2020,1809
27/08/2020,1815
28/08/2020,1818
29/08/2020,1819
30/08/2020,1822
31/08/2020,1824
01/09/2020,1827
02/09/2020,1829
03/09/2020,1833
04/09/2020,1838
05/09/2020,1840
06/09/2020,1843
07/09/2020,1846
08/09/2020,1849
09/09/2020,1852
10/09/2020,1855
11/09/2020,1860
12/09/2020,1867
13/09/2020,1871
14/09/2020,1875
15/09/2020,1878
16/09/2020,1888
17/09/2020,1894
18/09/2020,1899
19/09/2020,1912
20/09/2020,1920
21/09/2020,1925
22/09/2020,1928
23/09/2020,1931
24/09/2020,1936
25/09/2020,1944
26/09/2020,1953
27/09/2020,1957
28/09/2020,1963
29/09/2020,1971
30/09/2020,1977
01/10/2020,1983
02/10/2020,1995
03/10/2020,2005
04/10/2020,2018
05/10/2020,2032
06/10/2020,2040
07/10/2020,2050
08/10/2020,2062
09/10/2020,2067
10/10/2020,2080
11/10/2020,2094
12/10/2020,2110
13/10/2020,2117
14/10/2020,2128
15/10/2020,2149
16/10/2020,2162
17/10/2020,2181
18/10/2020,2198
19/10/2020,2213
20/10/2020,2229
21/10/2020,2245
22/10/2020,2276
23/10/2020,2297
24/10/2020,2316
25/10/2020,2343
26/10/2020,2371
27/10/2020,2395
28/10/2020,2428
29/10/2020,2468
30/10/2020,2507
31/10/2020,2544
01/11/2020,2590
02/11/2020,2635
03/11/2020,2694
04/11/2020,2740
05/11/2020,2792
06/11/2020,2848
07/11/2020,2896
08/11/2020,2959
09/11/2020,3021
10/11/2020,3103
11/11/2020,3181
12/11/2020,3250
13/11/2020,3305
14/11/2020,3381
15/11/2020,3472
16/11/2020,3553
17/11/2020,3632
18/11/2020,3701
19/11/2020,3762
20/11/2020,3824
21/11/2020,3897
22/11/2020,3971
23/11/2020,4056
24/11/2020,4127
25/11/2020,4209
26/11/2020,4276
27/11/2020,4363
28/11/2020,4427
29/11/2020,4505
30/11/2020,4577
01/12/2020,4645
02/12/2020,4724
03/12/2020,4803
04/12/2020,4876
05/12/2020,4963
06/12/2020,5041
07/12/2020,5122
08/12/2020,5192
09/12/2020,5278
10/12/2020,5373
11/12/2020,5461
12/12/2020,5559
13/12/2020,5649
14/12/2020,5733
15/12/2020,5815
16/12/2020,5902
17/12/2020,5977
18/12/2020,6063
19/12/2020,6134
20/12/2020,6191
21/12/2020,6254
22/12/2020,6343
23/12/2020,6413
24/12/2020,6478
25/12/2020,6556
26/12/2020,6619
27/12/2020,6677
28/12/2020,6751
29/12/2020,6830
30/12/2020,6906
31/12/2020,6972
01/01/2021,7045
02/01/2021,7118
03/01/2021,7196
04/01/2021,7286
05/01/2021,7377
06/01/2021,7472
07/01/2021,7590
08/01/2021,7701
09/01/2021,7803
10/01/2021,7925
11/01/2021,8080
12/01/2021,8236
13/01/2021,8384
14/01/2021,8543
15/01/2021,8709
16/01/2021,8861
17/01/2021,9028
18/01/2021,9246
19/01/2021,9465
20/01/2021,9686
21/01/2021,9920
22/01/2021,10194
23/01/2021,10469
24/01/2021,10721
25/01/2021,11012
26/01/2021,11305
27/01/2021,11608
28/01/2021,11886
29/01/2021,12179
30/01/2021,12482
31/01/2021,12757
01/02/2021,13017
02/02/2021,13257
03/02/2021,13482
04/02/2021,13740
05/02/2021,13954
06/02/2021,14158
07/02/2021,14354
08/02/2021,14557
09/02/2021,14718
10/02/2021,14885
11/02/2021,15034
12/02/2021,15183
13/02/2021,15321
14/02/2021,15411
15/02/2021,15522
16/02/2021,15649
17/02/2021,15754
18/02/2021,15821
19/02/2021,15897
20/02/2021,15962
21/02/2021,16023
22/02/2021,16086
23/02/2021,16136
24/02/2021,16185
25/02/2021,16243
26/02/2021,16276
27/02/2021,16317
28/02/2021,16351
01/03/2021,16389
02/03/2021,16430
03/03/2021,16458
04/03/2021,16486
05/03/2021,16512
06/03/2021,16540
07/03/2021,16565
08/03/2021,16595
09/03/2021,16617
10/03/2021,16635
11/03/2021,16650
12/03/2021,16669
13/03/2021,16684
14/03/2021,16694
15/03/2021,16707
16/03/2021,16722
17/03/2021,16743
18/03/2021,16754
19/03/2021,16762
20/03/2021,16768
21/03/2021,16784
22/03/2021,16794
23/03/2021,16805
24/03/2021,16814
25/03/2021,16819
26/03/2021,16827
27/03/2021,16837
28/03/2021,16843
29/03/2021,16845
30/03/2021,16848
31/03/2021,16859
01/04/2021,16868
02/04/2021,16875
03/04/2021,16879
04/04/2021,16885
05/04/2021,16887
06/04/2021,16890
07/04/2021,16899
08/04/2021,16904
09/04/2021,16910
10/04/2021,16916
11/04/2021,16918
12/04/2021,16923
13/04/2021,16931
14/04/2021,16933
15/04/2021,16937
16/04/2021,16942
17/04/2021,16945
18/04/2021,16946
19/04/2021,16951
20/04/2021,16952
21/04/2021,16956
22/04/2021,16957
23/04/2021,16959
24/04/2021,16965
25/04/2021,16965
26/04/2021,16970
27/04/2021,16973
28/04/2021,16974
29/04/2021,16974
30/04/2021,16976
01/05/2021,16977
02/05/2021,16977
03/05/2021,16981
04/05/2021,16983
05/05/2021,16988
06/05/2021,16989
07/05/2021,16991
08/05/2021,16992
09/05/2021,16993
10/05/2021,16994
11/05/2021,16998
12/05/2021,16999
13/05/2021,16999
14/05/2021,17006
15/05/2021,17007
16/05/2021,17009
17/05/2021,17011
18/05/2021,17013
19/05/2021,17014
20/05/2021,17017
21/05/2021,17017
22/05/2021,17017
23/05/2021,17018
24/05/2021,17021
25/05/2021,17022
26/05/2021,17022
27/05/2021,17023
28/05/2021,17023
29/05/2021,17023
30/05/2021,17025
31/05/2021,17025
01/06/2021,17026
02/06/2021,17029
03/06/2021,17029
04/06/2021,17032
05/06/2021,17034
06/06/2021,17036
07/06/2021,17037
08/06/2021,17037
09/06/2021,17043
10/06/2021,17044
11/06/2021,17045
12/06/2021,17047
13/06/2021,17047
14/06/2021,17049
15/06/2021,17055
16/06/2021,17057
17/06/2021,17061
18/06/2021,17062
19/06/2021,17065
20/06/2021,17068
21/06/2021,17074
22/06/2021,17077
23/06/2021,17079
24/06/2021,17081
25/06/2021,17083
26/06/2021,17084
27/06/2021,17086
28/06/2021,17092
29/06/2021,17096
30/06/2021,17101
