Time period,Start date,"Estimated COVID-19 incidence rate per 10,000 people per day",95% Lower credible Interval,95% Upper credible Interval
25 October 2020 to 31 October 2020,25/10/2020,5.06,2.92,7.66
01 November 2020 to 07 November 2020,01/11/2020,5.44,3.21,7.97
08 November 2020 to 14 November 2020,08/11/2020,6.07,3.81,8.80
15 November 2020 to 21 November 2020,15/11/2020,6.51,4.21,9.07
22 November 2020 to 28 November 2020,22/11/2020,6.15,3.83,8.63
29 November 2020 to 05 December 2020,29/11/2020,6.26,3.88,8.85
06 December 2020 to 12 December 2020,06/12/2020,5.47,3.35,7.81
13 December 2020 to 19 December 2020,13/12/2020,4.49,2.42,6.67
20 December 2020 to 26 December 2020,20/12/2020,7.47,5.22,10.08
27 December 2020 to 02 January 2021,27/12/2020,8.02,5.63,10.60
03 January 2021 to 09 January 2021,03/01/2021,5.71,3.44,8.09
10 January 2021 to 16 January 2021,10/01/2021,7.05,4.72,9.46
17 January 2021 to 23 January 2021,17/01/2021,5.06,2.80,7.33
24 January 2021 to 30 January 2021,24/01/2021,3.38,1.43,5.30
31 January 2021 to 06 February 2021,31/01/2021,4.01,2.12,5.96
07 February 2021 to 13 February 2021,07/02/2021,2.93,1.39,4.65
14 February 2021 to 20 February 2021,14/02/2021,2.41,1.05,3.84
21 February 2021 to 27 February 2021,21/02/2021,2.59,1.32,3.97
28 February 2021 to 06 March 2021,28/02/2021,3.38,2.07,4.83
07 March 2021 to 13 March 2021,07/03/2021,4.13,2.58,5.87
14 March 2021 to 20 March 2021,14/03/2021,3.46,1.84,5.28
21 March 2021 to 27 March 2021,21/03/2021,2.68,1.20,4.08
28 March 2021 to 03 April 2021,28/03/2021,1.69,0.57,3.03
03 April 2021 to 09 April 2021,03/04/2021,1.21,0.28,2.35
11 April 2021 to 17 April 2021,11/04/2021,1.31,0.51,2.37
19 April 2021 to 25 April 2021,19/04/2021,0.94,0.22,1.90
25 April 2021 to 01 May 2021,25/04/2021,0.38,0.00,1.12
02 May 2021 to 08 May 2021,02/05/2021,0.66,0.23,1.23
09 May 2021 to 15 May 2021,09/05/2021,0.92,0.48,1.56
16 May 2021 to 22 May 2021,16/05/2021,1.11,0.63,1.81
23 May 2021 to 29 May 2021,23/05/2021,1.24,0.70,1.95
30 May 2021 to 05 June 2021,30/05/2021,1.70,1.04,2.50
06 June 2021 to 12 June 2021,06/06/2021,3.29,2.29,4.54
13 June 2021 to 19 June 2021,13/06/2021,5.53,4.15,7.30
20 June 2021 to 26 June 2021,20/06/2021,8.65,6.60,11.29
27 June 2021 to 03 July 2021,27/06/2021,9.97,7.55,12.72
